cluster_id,rep_subpath,gamma,n_members,trip_ids
C000000,"[11926065102, 1207511270, 5965083859, 263830255]",0.5,3,"['fc5449095d0dd042d7b73d949cd5036b44c1b54b', '61fc7ddd9b1eba6c90152238fbe5c2684043ca6e', '3b886603974e3b0795466476b0a4d3da744f599c']"
C000001,"[11926065102, 1207511270, 5965083859, 263830255]",0.5,3,"['b8af589757d7005485af642a048c432b1730a088', '0d8afd9d2083c177eefe0ce7f973742d78a65289', '2a0f8f179a94e30a055e63eabeebc66a86b1fe0f']"
C000002,"[11926065102, 1207511270, 5965083859, 263830255]",0.5,3,"['0d1d9fbfe223704fe321f78108cb5227ea273c4b', 'dacd7991c6306698265215a2b77797e688a0ec9a', '38fc53c44427066f37af2e05f4d447f9c3fc576a']"
C000003,"[11926065102, 1207511270, 5965083859, 263830255]",0.5,3,"['824f9f07f6f6abee3ca91bf3f2069b4d1070258d', '603d1d2f4fdb5fdfdf5e1092841c0e0facbfac0c', 'ba199f2c58e2622dc422bc0e9d1a3554c724c619']"
C000004,"[11926065102, 1207511270, 5965083859, 263830255]",0.5,3,"['28ca8afea9f8199ca9551e7edbf148213edf9fe3', 'b7fea90bd80a2c536f85b62dad3a9907bdce3909', '551a7872c188fe3845e195953a5458f1a02f8638']"
C000005,"[1207511270, 5965083859, 263830255, 2174477443]",0.5,3,"['fc5449095d0dd042d7b73d949cd5036b44c1b54b', '61fc7ddd9b1eba6c90152238fbe5c2684043ca6e', '3b886603974e3b0795466476b0a4d3da744f599c']"
C000006,"[1207511270, 5965083859, 263830255, 2174477443]",0.5,3,"['b8af589757d7005485af642a048c432b1730a088', '0d8afd9d2083c177eefe0ce7f973742d78a65289', '2a0f8f179a94e30a055e63eabeebc66a86b1fe0f']"
C000007,"[1207511270, 5965083859, 263830255, 2174477443]",0.5,3,"['0d1d9fbfe223704fe321f78108cb5227ea273c4b', 'dacd7991c6306698265215a2b77797e688a0ec9a', '38fc53c44427066f37af2e05f4d447f9c3fc576a']"
C000008,"[1207511270, 5965083859, 263830255, 2174477443]",0.5,3,"['824f9f07f6f6abee3ca91bf3f2069b4d1070258d', '603d1d2f4fdb5fdfdf5e1092841c0e0facbfac0c', 'ba199f2c58e2622dc422bc0e9d1a3554c724c619']"
C000009,"[1207511270, 5965083859, 263830255, 2174477443]",0.5,3,"['28ca8afea9f8199ca9551e7edbf148213edf9fe3', 'b7fea90bd80a2c536f85b62dad3a9907bdce3909', '551a7872c188fe3845e195953a5458f1a02f8638']"
C000010,"[5965083859, 263830255, 2174477443, 2174477608]",0.5,3,"['fc5449095d0dd042d7b73d949cd5036b44c1b54b', '61fc7ddd9b1eba6c90152238fbe5c2684043ca6e', '3b886603974e3b0795466476b0a4d3da744f599c']"
C000011,"[5965083859, 263830255, 2174477443, 2174477608]",0.5,3,"['b8af589757d7005485af642a048c432b1730a088', '0d8afd9d2083c177eefe0ce7f973742d78a65289', '2a0f8f179a94e30a055e63eabeebc66a86b1fe0f']"
C000012,"[5965083859, 263830255, 2174477443, 2174477608]",0.5,3,"['0d1d9fbfe223704fe321f78108cb5227ea273c4b', 'dacd7991c6306698265215a2b77797e688a0ec9a', '38fc53c44427066f37af2e05f4d447f9c3fc576a']"
C000013,"[5965083859, 263830255, 2174477443, 2174477608]",0.5,3,"['824f9f07f6f6abee3ca91bf3f2069b4d1070258d', '603d1d2f4fdb5fdfdf5e1092841c0e0facbfac0c', 'ba199f2c58e2622dc422bc0e9d1a3554c724c619']"
