Vehicle_ID,Type,Current_Latitude,Current_Longitude,Battery_Percentage,Status,Last_Assigned_Time
VEH00000,EV,41.96136049989262,-87.65148624334535,66.0,Idle,2025-04-01 19:28:06
VEH00001,EV,41.889450749164055,-87.63002570414429,41.0,Idle,2025-04-01 17:46:33
VEH00002,EV,41.98154686485133,-87.9142658556386,69.0,Idle,2025-04-01 17:57:22
VEH00003,EV,41.98278178698558,-87.91775480599485,61.0,Idle,2025-04-01 21:10:21
VEH00004,EV,41.74057797211897,-87.61513454560549,71.0,Idle,2025-04-01 22:18:42
VEH00005,EV,41.97590015900182,-87.91524485600668,79.0,Idle,2025-04-01 18:58:55
VEH00006,EV,42.007074754991464,-87.67460150142611,43.0,Idle,2025-04-01 21:16:31
VEH00007,EV,41.88519045725103,-87.62224685423013,93.0,Idle,2025-04-01 17:52:06
VEH00008,EV,41.88162402807927,-87.62976771254868,92.0,Idle,2025-04-01 22:23:42
VEH00009,EV,41.89758313669594,-87.62886668494828,74.0,Idle,2025-04-01 20:23:14
VEH00010,EV,41.9820963399314,-87.91493794129808,79.0,Idle,2025-04-01 17:29:20
VEH00011,EV,41.67472634224768,-87.6384281438347,39.0,Idle,2025-04-01 17:50:09
VEH00012,EV,41.977968113145614,-87.9047799072624,20.0,Idle,2025-04-01 19:53:02
VEH00013,EV,41.977039190703096,-87.90609481127147,21.0,Idle,2025-04-01 23:58:46
VEH00014,EV,41.977948148199,-87.89908521447629,78.0,Idle,2025-04-01 19:07:09
VEH00015,EV,41.8801392325002,-87.62855827381198,98.0,Idle,2025-04-01 20:28:53
VEH00016,EV,41.874868656237346,-87.624245282474,79.0,Idle,2025-04-01 23:26:17
VEH00017,EV,41.975082936709995,-87.90450081726723,54.0,Idle,2025-04-01 18:23:09
VEH00018,EV,41.980521017189844,-87.91189196912309,80.0,Idle,2025-04-01 23:01:44
VEH00019,EV,41.92136544565801,-87.65340983462521,83.0,Idle,2025-04-01 18:29:45
VEH00020,EV,41.8928619303348,-87.62501471541567,67.0,Idle,2025-04-01 18:13:52
VEH00021,EV,41.98155043452272,-87.91412818737825,58.0,Idle,2025-04-01 23:14:07
VEH00022,EV,41.89969240951906,-87.62195787973947,97.0,Idle,2025-04-01 23:13:32
VEH00023,EV,41.90052959523014,-87.63648110927805,49.0,Idle,2025-04-01 21:36:42
VEH00024,EV,41.881855512539694,-87.62469988128318,90.0,Idle,2025-04-01 17:59:47
VEH00025,EV,41.85147893867559,-87.66922618259306,89.0,Idle,2025-04-01 17:44:59
VEH00026,EV,41.89743366883958,-87.63602841084861,87.0,Idle,2025-04-01 20:44:37
VEH00027,EV,41.89573872734025,-87.61287049934879,100.0,Idle,2025-04-01 18:01:40
VEH00028,EV,41.90117977362845,-87.62363837649282,71.0,Idle,2025-04-01 23:16:47
VEH00029,EV,41.88581848604585,-87.61940384002072,62.0,Idle,2025-04-01 22:43:14
VEH00030,EV,41.881739339440806,-87.6169182992015,68.0,Idle,2025-04-01 23:10:22
VEH00031,EV,41.90211946054026,-87.62021942298401,30.0,Idle,2025-04-01 22:22:51
VEH00032,EV,41.92206688815353,-87.64764813489339,25.0,Idle,2025-04-01 17:27:04
VEH00033,EV,41.869707887321844,-87.66648891585045,100.0,Idle,2025-04-01 22:25:55
VEH00034,EV,41.97603819726816,-87.90513000355291,34.0,Idle,2025-04-01 23:33:48
VEH00035,EV,41.900827621965384,-87.63589970218135,62.0,Idle,2025-04-01 17:33:04
VEH00036,EV,41.77788688050605,-87.64662567283257,97.0,Idle,2025-04-01 17:30:09
VEH00037,EV,41.77933890989995,-87.59835951088944,39.0,Idle,2025-04-01 23:26:23
VEH00038,EV,41.88351824260833,-87.623315690754,26.0,Idle,2025-04-01 20:55:02
VEH00039,EV,41.895443586979404,-87.6375194332875,30.0,Idle,2025-04-01 18:19:25
VEH00040,EV,41.97706320519692,-87.90588202021088,99.0,Idle,2025-04-01 18:28:01
VEH00041,EV,41.90030372235454,-87.63031719265199,97.0,Idle,2025-04-01 20:24:25
VEH00042,EV,41.89659165185156,-87.62914212108568,81.0,Idle,2025-04-01 23:03:56
VEH00043,EV,41.889392418246594,-87.63157079689306,77.0,Idle,2025-04-01 19:24:03
VEH00044,EV,41.96024986688508,-87.64104749063934,71.0,Idle,2025-04-01 17:01:25
VEH00045,EV,41.88201476319509,-87.63449928672226,39.0,Idle,2025-04-01 18:01:48
VEH00046,EV,41.94617111607623,-87.65702602681714,92.0,Idle,2025-04-01 19:57:32
VEH00047,EV,41.88226544839063,-87.62800153068628,86.0,Idle,2025-04-01 23:17:04
VEH00048,EV,41.895521834071054,-87.63304183808455,68.0,Idle,2025-04-01 18:25:41
VEH00049,EV,41.88890303734058,-87.62087965151615,76.0,Idle,2025-04-01 21:46:03
VEH00050,EV,41.98273806828749,-87.89885439938631,41.0,Idle,2025-04-01 23:06:57
VEH00051,EV,41.84010639102227,-87.63505919231581,73.0,Idle,2025-04-01 22:19:08
VEH00052,EV,41.900937948444515,-87.632303145257,20.0,Idle,2025-04-01 23:06:01
VEH00053,EV,41.98534411446952,-87.66085374207523,95.0,Idle,2025-04-01 18:57:51
VEH00054,EV,41.81397758173282,-87.61344346129951,71.0,Idle,2025-04-01 20:28:46
VEH00055,EV,41.890964210813955,-87.61788391250656,76.0,Idle,2025-04-01 23:25:10
VEH00056,EV,41.88663291991212,-87.64155417707829,93.0,Idle,2025-04-01 17:36:13
VEH00057,EV,41.743409928619435,-87.58585335992004,41.0,Idle,2025-04-01 18:47:20
VEH00058,EV,41.79023413594148,-87.74900178695735,86.0,Idle,2025-04-01 18:16:56
VEH00059,EV,41.9432711693919,-87.65973173781714,45.0,Idle,2025-04-01 20:30:33
VEH00060,EV,41.88859239889413,-87.62205966109654,76.0,Idle,2025-04-01 20:18:21
VEH00061,EV,41.881222106487996,-87.64253087510228,57.0,Idle,2025-04-01 22:47:28
VEH00062,EV,41.88279152932936,-87.64015288813162,61.0,Idle,2025-04-01 22:29:25
VEH00063,EV,41.974985270609245,-87.90238055377398,94.0,Idle,2025-04-01 23:13:11
VEH00064,EV,41.9768671107057,-87.90284712472818,49.0,Idle,2025-04-01 21:36:53
VEH00065,EV,41.88080498601904,-87.63903690995377,29.0,Idle,2025-04-01 22:52:05
VEH00066,EV,41.815609206728936,-87.61539621158391,43.0,Idle,2025-04-01 21:11:03
